Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1976","1976","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1977","1977","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1978","1978","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1979","1979","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1980","1980","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1981","1981","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1982","1982","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1983","1983","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1984","1984","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1985","1985","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1986","1986","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1987","1987","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1988","1988","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1989","1989","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1990","1990","g/capita/day","0.01","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1991","1991","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1992","1992","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1993","1993","g/capita/day","0.09","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1994","1994","g/capita/day","0.15","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1995","1995","g/capita/day","0.16","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1996","1996","g/capita/day","0.23","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1997","1997","g/capita/day","0.25","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1998","1998","g/capita/day","0.17","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2769","Aquatic Animals, Others","1999","1999","g/capita/day","0.12","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1961","1961","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1962","1962","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1963","1963","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1964","1964","g/capita/day","0","Fc","Calculated data"
"CL","Food Supply - Livestock and Fish Primary Equivalent","15","Belgium-Luxembourg","646","Food supply quantity (g/capita/day)","2775","Aquatic Plants","1965","1965","g/capita/day","0","Fc","Calculated data"
